               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059731,            0.051119,            0.024368,             0.76676,             0.16019,             0.15562,            0.077705,            0.040974,            0.061483,            0.013413,            0.070035,           0.0033294,           0.0033294
                   1,             0.04665,            0.042151,            0.013334,             0.85415,             0.17555,             0.22049,              0.1188,            0.034178,            0.058367,            0.011541,            0.040013,           0.0066408,           0.0066408
                   2,              0.0417,            0.040726,            0.011133,             0.80511,             0.22578,             0.26173,             0.14138,            0.031477,            0.057281,            0.010422,           0.0099693,           0.0099301,           0.0099301
                   3,            0.037609,            0.040201,           0.0098858,              0.6883,             0.26583,             0.27496,             0.16093,            0.028837,            0.057238,             0.01004,            0.009901,            0.009901,            0.009901
                   4,            0.034518,            0.039347,           0.0087207,             0.66588,             0.27886,             0.28663,             0.16021,            0.028667,              0.0565,           0.0096829,            0.009901,            0.009901,            0.009901
                   5,            0.032734,            0.038624,           0.0080965,             0.70365,             0.28123,             0.31082,             0.18032,            0.027571,            0.055974,           0.0088244,            0.009868,            0.009868,            0.009868
                   6,            0.030962,            0.037563,           0.0073155,             0.70441,             0.29896,             0.31289,              0.1738,             0.02739,             0.05564,           0.0091077,            0.009835,            0.009835,            0.009835
                   7,            0.030079,            0.036916,           0.0070655,             0.72954,             0.28965,             0.32974,             0.19441,            0.026352,            0.054791,           0.0086534,            0.009802,            0.009802,            0.009802
                   8,            0.029146,            0.036079,           0.0065789,             0.73892,             0.30604,             0.33622,             0.19559,            0.026046,            0.054623,            0.008371,            0.009769,            0.009769,            0.009769
                   9,            0.028148,            0.035504,           0.0063973,              0.7804,              0.2947,             0.33858,             0.20133,            0.025933,            0.054519,           0.0080952,            0.009736,            0.009736,            0.009736
                  10,            0.027744,            0.035136,           0.0059393,             0.70979,             0.31015,             0.32956,             0.19493,            0.025623,            0.053943,           0.0084244,            0.009703,            0.009703,            0.009703
                  11,             0.02723,            0.034746,           0.0057587,             0.74607,             0.31111,             0.35374,             0.20735,            0.025639,            0.053991,           0.0079605,             0.00967,             0.00967,             0.00967
                  12,            0.026765,             0.03436,           0.0055591,             0.75507,             0.31341,             0.36014,             0.21752,              0.0253,             0.05349,           0.0080838,            0.009637,            0.009637,            0.009637
                  13,            0.026353,            0.034033,           0.0054361,             0.71013,             0.32217,             0.35139,              0.2083,            0.025185,             0.05373,            0.007918,            0.009604,            0.009604,            0.009604
                  14,            0.026053,            0.033809,           0.0052672,             0.53801,             0.34783,             0.35727,             0.21404,            0.025089,            0.053029,           0.0080019,            0.009571,            0.009571,            0.009571
                  15,            0.025832,            0.033374,           0.0050511,             0.63076,             0.31238,             0.33499,             0.20096,            0.024874,            0.052995,           0.0082858,            0.009538,            0.009538,            0.009538
                  16,            0.025488,            0.033095,           0.0048919,             0.64008,             0.34456,             0.36173,             0.21373,            0.025004,            0.053438,           0.0077062,            0.009505,            0.009505,            0.009505
                  17,            0.025193,            0.032882,           0.0046829,              0.6635,             0.33528,             0.35866,             0.21231,            0.024752,            0.053043,           0.0078545,            0.009472,            0.009472,            0.009472
                  18,            0.025099,            0.032651,           0.0046401,             0.47871,             0.35002,             0.36796,             0.22237,            0.024821,               0.053,           0.0078935,            0.009439,            0.009439,            0.009439
                  19,            0.024885,            0.032543,           0.0045117,             0.63122,             0.32186,             0.35864,             0.21909,            0.024787,            0.053092,            0.008169,            0.009406,            0.009406,            0.009406
                  20,            0.024643,              0.0322,           0.0044117,             0.70118,             0.33509,             0.36346,             0.22253,            0.024699,            0.053199,           0.0080279,            0.009373,            0.009373,            0.009373
                  21,            0.024566,            0.032164,           0.0044038,             0.58069,             0.33124,              0.3576,             0.21558,            0.024689,            0.053277,           0.0081249,             0.00934,             0.00934,             0.00934
                  22,            0.024355,            0.032008,           0.0043317,             0.72653,             0.32373,             0.36901,             0.22744,            0.024571,            0.052722,           0.0078211,            0.009307,            0.009307,            0.009307
                  23,            0.024093,            0.031749,           0.0040739,             0.61842,             0.34231,             0.37152,             0.23048,            0.024458,            0.052965,           0.0074792,            0.009274,            0.009274,            0.009274
                  24,            0.024042,             0.03174,           0.0040729,             0.60684,             0.34056,             0.36854,             0.22138,            0.024324,            0.052849,            0.007947,            0.009241,            0.009241,            0.009241
                  25,            0.024033,            0.031463,            0.003936,              0.7341,             0.34624,             0.37769,              0.2327,            0.024186,            0.052782,           0.0078459,            0.009208,            0.009208,            0.009208
                  26,             0.02359,            0.031268,           0.0037169,             0.72565,             0.34475,             0.37729,             0.23089,            0.024203,            0.052718,             0.00781,            0.009175,            0.009175,            0.009175
                  27,            0.023706,            0.031199,           0.0039078,             0.60653,             0.33869,             0.36543,             0.21989,            0.024475,            0.053211,           0.0077814,            0.009142,            0.009142,            0.009142
                  28,            0.023417,              0.0309,           0.0035951,             0.68843,              0.3618,             0.37012,             0.22275,            0.024083,            0.052596,            0.007768,            0.009109,            0.009109,            0.009109
                  29,            0.023263,            0.030744,           0.0035205,             0.60087,             0.34457,             0.36629,             0.22516,            0.024157,            0.052796,           0.0077318,            0.009076,            0.009076,            0.009076
                  30,            0.023167,            0.030666,           0.0035767,             0.56683,             0.34513,             0.36787,             0.22431,            0.023954,             0.05255,           0.0078292,            0.009043,            0.009043,            0.009043
                  31,            0.023133,            0.030617,           0.0034767,              0.5271,             0.34667,             0.38188,              0.2359,            0.023928,            0.052402,           0.0074645,             0.00901,             0.00901,             0.00901
                  32,            0.023068,            0.030674,           0.0034993,             0.50441,             0.36018,             0.38535,             0.23415,            0.024027,            0.052812,           0.0076348,            0.008977,            0.008977,            0.008977
                  33,            0.022896,            0.030439,            0.003326,             0.60969,             0.35579,             0.38635,             0.23232,             0.02376,            0.052615,           0.0076756,            0.008944,            0.008944,            0.008944
                  34,            0.022864,            0.030269,           0.0033043,             0.59288,             0.35363,             0.38158,             0.23345,            0.023763,            0.052498,            0.007779,            0.008911,            0.008911,            0.008911
                  35,            0.022761,            0.030247,           0.0033155,             0.59333,             0.33346,             0.37488,             0.22802,            0.023815,            0.052558,            0.007843,            0.008878,            0.008878,            0.008878
                  36,            0.022592,            0.029923,           0.0031055,             0.66357,             0.36352,               0.375,             0.22543,            0.023771,             0.05237,           0.0079672,            0.008845,            0.008845,            0.008845
                  37,            0.022473,            0.029982,             0.00323,             0.73417,             0.32558,             0.36707,             0.22198,             0.02373,            0.052523,           0.0080368,            0.008812,            0.008812,            0.008812
                  38,            0.022455,             0.02987,           0.0030827,             0.66001,             0.35019,             0.37227,             0.22746,            0.023654,             0.05239,           0.0078261,            0.008779,            0.008779,            0.008779
                  39,            0.022327,            0.029688,           0.0031167,              0.4656,               0.349,             0.37165,             0.22392,            0.023698,            0.052549,            0.007833,            0.008746,            0.008746,            0.008746
                  40,            0.022254,            0.029598,           0.0029091,              0.5595,             0.35941,             0.37525,             0.23091,            0.023579,            0.052456,           0.0078316,            0.008713,            0.008713,            0.008713
                  41,            0.022162,             0.02935,           0.0029257,             0.62304,              0.3181,             0.37137,             0.22862,            0.023582,            0.052655,           0.0078884,             0.00868,             0.00868,             0.00868
                  42,            0.022111,            0.029454,            0.002979,             0.56742,             0.35192,             0.37448,             0.22698,             0.02349,            0.052364,            0.008001,            0.008647,            0.008647,            0.008647
                  43,            0.021961,            0.029202,           0.0027947,             0.65942,              0.3164,             0.37086,             0.22637,            0.023567,            0.052335,           0.0081144,            0.008614,            0.008614,            0.008614
                  44,            0.021828,            0.029132,           0.0027568,             0.59582,             0.34045,             0.37927,             0.23272,            0.023584,            0.052445,           0.0077952,            0.008581,            0.008581,            0.008581
                  45,            0.021837,            0.029227,           0.0028724,              0.6507,             0.32894,             0.37752,             0.23117,            0.023427,            0.052263,           0.0078681,            0.008548,            0.008548,            0.008548
                  46,            0.021848,            0.029175,           0.0028036,               0.573,             0.34907,             0.37872,             0.23173,            0.023455,            0.052284,           0.0077013,            0.008515,            0.008515,            0.008515
                  47,            0.021664,             0.02907,           0.0028434,             0.59854,             0.33146,             0.37268,             0.22765,              0.0234,            0.052117,           0.0077829,            0.008482,            0.008482,            0.008482
                  48,            0.021625,            0.028828,            0.002687,             0.58615,             0.33233,             0.36958,             0.22786,            0.023377,            0.052255,           0.0079672,            0.008449,            0.008449,            0.008449
                  49,            0.021609,             0.02884,           0.0027531,             0.54798,             0.36621,             0.37307,              0.2293,             0.02346,             0.05232,           0.0081589,            0.008416,            0.008416,            0.008416
                  50,            0.021565,            0.028897,           0.0027422,             0.60418,             0.33882,             0.37336,              0.2311,            0.023457,            0.052272,           0.0080984,            0.008383,            0.008383,            0.008383
                  51,            0.021382,            0.028545,           0.0026051,             0.59382,             0.35129,             0.37168,             0.23012,            0.023463,            0.052482,            0.007984,             0.00835,             0.00835,             0.00835
                  52,            0.021464,            0.028679,           0.0026945,             0.60967,             0.34845,             0.38001,             0.23591,            0.023445,            0.052432,           0.0079311,            0.008317,            0.008317,            0.008317
                  53,             0.02134,             0.02872,           0.0027147,             0.58781,             0.35265,             0.38184,             0.23809,            0.023452,            0.052383,           0.0078169,            0.008284,            0.008284,            0.008284
                  54,            0.021123,            0.028396,           0.0024538,             0.61908,             0.34332,             0.38178,             0.23755,            0.023498,             0.05254,           0.0079311,            0.008251,            0.008251,            0.008251
                  55,            0.021214,            0.028412,           0.0025869,             0.62641,             0.33898,             0.38147,              0.2372,            0.023546,            0.052679,           0.0078347,            0.008218,            0.008218,            0.008218
                  56,            0.021207,            0.028421,           0.0025275,             0.61852,             0.36257,             0.38356,             0.23678,            0.023553,            0.052811,           0.0078207,            0.008185,            0.008185,            0.008185
                  57,            0.021053,            0.028459,           0.0025616,             0.49794,             0.35864,             0.38217,             0.23548,            0.023527,            0.052884,           0.0078852,            0.008152,            0.008152,            0.008152
                  58,            0.021045,            0.028382,           0.0026038,             0.51597,             0.34632,             0.37914,              0.2336,            0.023513,            0.052925,           0.0078435,            0.008119,            0.008119,            0.008119
                  59,            0.021094,            0.028314,           0.0025108,              0.5167,             0.35624,              0.3798,             0.23487,            0.023461,            0.052839,           0.0078082,            0.008086,            0.008086,            0.008086
