               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058794,            0.050113,            0.025048,             0.78349,             0.12269,             0.13968,            0.066071,            0.041331,            0.061408,            0.013621,            0.070035,           0.0033294,           0.0033294
                   1,            0.046583,            0.042169,            0.013628,             0.70332,             0.19802,             0.20509,              0.1145,            0.034376,            0.058099,            0.011514,            0.040013,           0.0066408,           0.0066408
                   2,             0.04175,            0.040702,            0.011307,             0.82937,             0.21368,             0.24927,             0.13636,            0.031174,            0.057471,            0.010629,           0.0099693,           0.0099301,           0.0099301
                   3,            0.037497,            0.040198,           0.0099411,             0.63062,             0.26123,              0.2617,             0.15138,            0.029179,            0.057113,            0.009994,            0.009901,            0.009901,            0.009901
                   4,            0.034619,            0.039366,           0.0088208,              0.7511,             0.25646,             0.28974,             0.16378,            0.028865,            0.056501,           0.0093891,            0.009901,            0.009901,            0.009901
                   5,            0.032632,            0.038631,           0.0082107,             0.66558,             0.29486,             0.30692,             0.17835,            0.027561,            0.055724,            0.009076,            0.009868,            0.009868,            0.009868
                   6,            0.030979,            0.037586,           0.0073837,             0.68568,             0.30578,              0.3168,             0.17958,            0.027303,             0.05571,           0.0087728,            0.009835,            0.009835,            0.009835
                   7,            0.029999,            0.036875,           0.0070305,             0.76763,             0.28621,             0.32892,             0.19626,            0.026366,            0.054643,           0.0087013,            0.009802,            0.009802,            0.009802
                   8,            0.029124,            0.036141,           0.0066586,             0.76543,             0.30304,             0.33886,             0.19982,            0.026432,            0.054459,           0.0085686,            0.009769,            0.009769,            0.009769
                   9,            0.028248,            0.035546,           0.0064144,             0.76355,              0.3108,             0.34255,             0.19871,            0.026126,            0.054544,           0.0082136,            0.009736,            0.009736,            0.009736
                  10,            0.027625,            0.035187,           0.0060235,             0.73605,             0.31504,             0.33995,             0.20312,            0.025446,            0.053442,           0.0083635,            0.009703,            0.009703,            0.009703
                  11,            0.027227,            0.034751,           0.0058224,             0.77277,             0.29479,             0.34499,             0.20471,            0.025526,            0.053691,           0.0081805,             0.00967,             0.00967,             0.00967
                  12,            0.026847,            0.034437,           0.0056277,             0.80472,             0.30174,             0.35987,             0.21625,            0.025713,            0.054139,           0.0077474,            0.009637,            0.009637,            0.009637
                  13,            0.026495,            0.034074,           0.0054925,             0.75868,             0.30751,             0.34762,             0.20499,            0.025202,            0.053654,           0.0084752,            0.009604,            0.009604,            0.009604
                  14,            0.026019,            0.033833,           0.0052652,             0.80434,             0.29579,             0.35913,             0.21205,             0.02502,            0.053287,           0.0077228,            0.009571,            0.009571,            0.009571
                  15,            0.025995,            0.033353,           0.0050477,             0.64084,             0.32805,              0.3457,             0.20645,            0.025016,            0.053139,           0.0080433,            0.009538,            0.009538,            0.009538
                  16,            0.025561,            0.033211,            0.004927,             0.81441,             0.29386,             0.35419,             0.21083,             0.02466,            0.053137,           0.0083254,            0.009505,            0.009505,            0.009505
                  17,            0.025327,            0.032944,           0.0047692,              0.6734,              0.3288,             0.35885,             0.21736,              0.0246,            0.052987,           0.0077452,            0.009472,            0.009472,            0.009472
                  18,            0.025003,            0.032561,           0.0045775,             0.48473,             0.32147,             0.35198,              0.2113,            0.024702,            0.052731,           0.0084965,            0.009439,            0.009439,            0.009439
                  19,             0.02498,            0.032516,           0.0045624,              0.5995,             0.32534,              0.3589,              0.2192,            0.024631,            0.052847,           0.0082802,            0.009406,            0.009406,            0.009406
                  20,            0.024707,             0.03225,           0.0043875,             0.75739,             0.31816,             0.36923,             0.22354,            0.024729,            0.053182,           0.0081352,            0.009373,            0.009373,            0.009373
                  21,            0.024457,            0.031995,           0.0043406,             0.58079,             0.34354,             0.36209,             0.21923,            0.024395,            0.052743,           0.0080036,             0.00934,             0.00934,             0.00934
                  22,            0.024285,            0.031921,           0.0042958,             0.70381,             0.32099,             0.35377,              0.2158,            0.024541,             0.05308,           0.0080341,            0.009307,            0.009307,            0.009307
                  23,            0.024056,            0.031752,           0.0041062,             0.72546,             0.30342,             0.35426,             0.21904,            0.024305,             0.05271,           0.0080016,            0.009274,            0.009274,            0.009274
                  24,            0.024143,            0.031703,           0.0040144,             0.63259,              0.3287,             0.38591,             0.23857,            0.024073,            0.052441,           0.0076584,            0.009241,            0.009241,            0.009241
                  25,            0.023954,            0.031436,           0.0039837,             0.57899,             0.33904,             0.36495,             0.22026,            0.024448,            0.053098,           0.0081216,            0.009208,            0.009208,            0.009208
                  26,            0.023608,            0.031297,            0.003789,             0.51471,             0.33995,             0.36906,             0.22657,            0.024037,            0.052333,           0.0080434,            0.009175,            0.009175,            0.009175
                  27,            0.023597,             0.03113,           0.0038305,             0.57397,              0.3268,             0.34903,             0.21186,            0.024247,             0.05289,           0.0081678,            0.009142,            0.009142,            0.009142
                  28,            0.023667,            0.031132,           0.0037071,             0.71492,             0.32638,               0.365,             0.22158,            0.024011,            0.052372,           0.0083721,            0.009109,            0.009109,            0.009109
                  29,            0.023346,            0.030929,           0.0035872,             0.58643,             0.33216,             0.36085,             0.22106,            0.023981,            0.052516,           0.0081882,            0.009076,            0.009076,            0.009076
                  30,            0.023255,             0.03076,           0.0036161,              0.4759,              0.3402,             0.36348,             0.22244,            0.023962,            0.052194,           0.0080261,            0.009043,            0.009043,            0.009043
                  31,            0.023205,            0.030621,           0.0035559,              0.5922,             0.34066,             0.37159,             0.22533,            0.023848,            0.052262,            0.007927,             0.00901,             0.00901,             0.00901
                  32,            0.023045,            0.030547,           0.0034615,             0.50201,             0.33984,             0.37186,             0.22871,            0.023907,            0.052534,           0.0078985,            0.008977,            0.008977,            0.008977
                  33,            0.022951,            0.030403,           0.0033518,             0.51369,             0.32222,             0.36925,              0.2227,            0.023742,            0.052122,           0.0081844,            0.008944,            0.008944,            0.008944
                  34,            0.022824,            0.030153,           0.0032604,             0.48687,             0.35264,             0.37445,              0.2284,            0.023793,            0.052343,           0.0079894,            0.008911,            0.008911,            0.008911
                  35,            0.022673,            0.030147,            0.003288,             0.51355,             0.33337,             0.36609,             0.22466,            0.023719,            0.052359,           0.0078461,            0.008878,            0.008878,            0.008878
                  36,            0.022587,            0.029908,           0.0031088,             0.53896,             0.32404,             0.37549,             0.22764,            0.023635,            0.052158,           0.0081505,            0.008845,            0.008845,            0.008845
                  37,             0.02253,            0.029868,           0.0032148,             0.62081,             0.32962,             0.37144,             0.22867,            0.023756,            0.052407,           0.0080087,            0.008812,            0.008812,            0.008812
                  38,            0.022275,            0.029768,           0.0030186,             0.49792,             0.34619,             0.36882,             0.23086,            0.023673,            0.052018,           0.0079171,            0.008779,            0.008779,            0.008779
                  39,            0.022371,             0.02959,           0.0030566,             0.51057,             0.33544,             0.37518,             0.22951,             0.02374,            0.052489,           0.0079609,            0.008746,            0.008746,            0.008746
                  40,            0.022132,            0.029576,           0.0030389,             0.59621,             0.36135,             0.37941,             0.23243,            0.023566,            0.052017,           0.0083426,            0.008713,            0.008713,            0.008713
                  41,             0.02233,            0.029453,           0.0029175,             0.53017,             0.32535,             0.37356,             0.22951,            0.023641,             0.05238,           0.0079907,             0.00868,             0.00868,             0.00868
                  42,            0.022096,            0.029451,           0.0029118,             0.45162,             0.35936,             0.36918,             0.22342,            0.023504,            0.052246,           0.0083092,            0.008647,            0.008647,            0.008647
                  43,            0.022064,            0.029321,           0.0029574,             0.49157,             0.32765,             0.36841,             0.22286,            0.023554,            0.051968,           0.0080876,            0.008614,            0.008614,            0.008614
                  44,            0.021921,             0.02936,           0.0029305,             0.56913,             0.36227,             0.37275,             0.22724,            0.023497,            0.051695,           0.0079724,            0.008581,            0.008581,            0.008581
                  45,            0.021855,            0.029171,           0.0028132,             0.54314,             0.36402,             0.37365,             0.22745,            0.023395,            0.051531,           0.0080379,            0.008548,            0.008548,            0.008548
                  46,            0.021823,            0.029119,           0.0028149,             0.62991,             0.33355,             0.37837,             0.22907,            0.023395,            0.051647,           0.0080018,            0.008515,            0.008515,            0.008515
                  47,             0.02165,             0.02892,           0.0027673,              0.5028,             0.34606,             0.37739,              0.2304,             0.02342,            0.051833,           0.0079676,            0.008482,            0.008482,            0.008482
                  48,             0.02162,            0.028908,           0.0027119,             0.63373,             0.33222,             0.37789,             0.23138,            0.023411,            0.051958,           0.0081166,            0.008449,            0.008449,            0.008449
                  49,            0.021595,            0.028777,           0.0027324,             0.60927,             0.35308,              0.3817,             0.23337,            0.023411,            0.051966,            0.008039,            0.008416,            0.008416,            0.008416
                  50,             0.02152,            0.028741,           0.0026466,             0.60172,             0.35178,             0.38013,             0.23053,            0.023408,            0.051943,           0.0079652,            0.008383,            0.008383,            0.008383
                  51,             0.02142,            0.028619,           0.0026288,                0.59,             0.35997,             0.38075,             0.23188,            0.023411,            0.052035,           0.0078704,             0.00835,             0.00835,             0.00835
                  52,            0.021322,            0.028515,           0.0025763,             0.49136,             0.35851,              0.3786,             0.22965,            0.023372,            0.052051,           0.0080348,            0.008317,            0.008317,            0.008317
                  53,            0.021285,            0.028706,           0.0027374,             0.47118,             0.35147,              0.3745,              0.2266,            0.023324,            0.052013,           0.0080947,            0.008284,            0.008284,            0.008284
                  54,            0.021396,            0.028896,           0.0027039,             0.68359,             0.35837,             0.37603,             0.22827,            0.023303,            0.051977,           0.0080205,            0.008251,            0.008251,            0.008251
                  55,            0.021306,            0.028681,           0.0027111,              0.7008,             0.34677,             0.37602,             0.23008,            0.023294,             0.05191,           0.0081049,            0.008218,            0.008218,            0.008218
                  56,            0.021199,            0.028389,           0.0025081,             0.69775,             0.35147,             0.37701,             0.23137,            0.023272,            0.051933,           0.0081504,            0.008185,            0.008185,            0.008185
                  57,            0.021107,            0.028434,           0.0025324,             0.59401,             0.36074,             0.37884,             0.23398,            0.023285,            0.052006,            0.008112,            0.008152,            0.008152,            0.008152
                  58,            0.021028,            0.028283,           0.0025346,               0.612,             0.33693,              0.3767,             0.23392,             0.02329,            0.052081,           0.0080929,            0.008119,            0.008119,            0.008119
                  59,            0.021022,            0.028177,           0.0024747,             0.49367,             0.33859,              0.3757,             0.23371,            0.023268,            0.052103,           0.0080781,            0.008086,            0.008086,            0.008086
                  60,            0.020882,            0.028147,           0.0024074,             0.49784,               0.343,             0.37638,             0.23179,            0.023281,            0.052119,           0.0080344,            0.008053,            0.008053,            0.008053
                  61,            0.020721,            0.027931,           0.0023608,             0.61455,             0.33795,             0.37754,             0.23306,            0.023296,            0.052192,           0.0079637,             0.00802,             0.00802,             0.00802
                  62,            0.020688,            0.027689,           0.0023034,             0.64191,             0.33536,             0.37739,             0.23232,            0.023281,            0.052195,           0.0079795,            0.007987,            0.007987,            0.007987
                  63,            0.020648,            0.027677,           0.0023371,             0.74596,             0.33021,             0.37653,             0.23331,            0.023267,            0.052217,            0.007971,            0.007954,            0.007954,            0.007954
                  64,            0.020606,            0.027705,            0.002323,             0.70112,             0.35234,             0.37716,             0.23422,            0.023259,            0.052215,           0.0079595,            0.007921,            0.007921,            0.007921
                  65,            0.020542,            0.027642,           0.0023293,             0.71523,             0.34144,             0.37673,             0.23141,            0.023261,             0.05222,           0.0079748,            0.007888,            0.007888,            0.007888
                  66,            0.020603,            0.027644,           0.0023682,             0.70808,             0.34029,             0.37681,             0.23247,            0.023264,            0.052225,           0.0080146,            0.007855,            0.007855,            0.007855
                  67,            0.020648,            0.027853,           0.0023505,             0.75317,             0.33075,             0.37765,             0.23292,             0.02325,             0.05218,           0.0080378,            0.007822,            0.007822,            0.007822
                  68,             0.02029,            0.027406,           0.0022377,             0.75091,             0.32963,             0.37786,             0.23258,            0.023234,            0.052182,            0.008046,            0.007789,            0.007789,            0.007789
                  69,            0.020416,            0.027561,           0.0022913,             0.74814,             0.33465,             0.37764,             0.23233,            0.023232,            0.052185,           0.0080387,            0.007756,            0.007756,            0.007756
                  70,            0.020437,            0.027683,           0.0023869,             0.74905,             0.33068,             0.37788,             0.23178,            0.023221,            0.052136,           0.0080619,            0.007723,            0.007723,            0.007723
                  71,            0.020421,            0.027432,           0.0022583,             0.62277,             0.33683,              0.3778,             0.23214,            0.023229,            0.052144,           0.0080954,             0.00769,             0.00769,             0.00769
                  72,            0.020351,            0.027367,           0.0022865,             0.63257,             0.33741,             0.37765,             0.23254,            0.023233,            0.052158,           0.0081274,            0.007657,            0.007657,            0.007657
                  73,            0.020222,            0.027296,            0.002193,             0.63342,             0.33613,             0.37685,             0.23139,            0.023232,            0.052179,           0.0081473,            0.007624,            0.007624,            0.007624
                  74,             0.02028,            0.027297,           0.0021822,             0.63228,             0.33573,             0.37643,             0.23133,            0.023229,            0.052197,           0.0081522,            0.007591,            0.007591,            0.007591
